Designator,Footprint,Quantity,Value,LCSC Part #
+,SW-SMD_L3.9-W3.0-P4.45,1,+,C720477
-,SW-SMD_L3.9-W3.0-P4.45,1,-,C720477
3.3V_2,TestPoint_Pad_D1.0mm,1,3.3v,
"3.3V, 4.XV",LED0402-R-RD_GREEN,2,GREEN_PWR,C434446
4.XV_2,TestPoint_Pad_D1.0mm,1,4.Xv,
5V,TestPoint_Pad_D1.0mm,1,5v,
"C1, C10, C13, C18, C19, C21, C3, C9",C0603,8,0.1uF,C1591
C11,C1210,1,47uF,C77101
"C12, C15",C0603,2,0.1uF,C14663
"C14, C16",C0603,2,22pf,C1653
C17,CAP-TH_BD16.0-P7.50-D1.2-FD,1,1000uF,C383058
"C2, C7",C0603,2,1uF,C696361
C20,C0805,1,4.7uF,C1779
C22,C0603,1,22uF,C77042
C4,C1210,1,10uF,C77102
C5,C0805,1,220nF,C107131
C6,C0603,1,10uF,C96446
C8,C0402,1,0.1uF,C71629
D1,SMB_L4.4-W3.6-LS5.3-L-RD,1,SMBJ26A,C315992
D2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,C7519
"D3, D4",SOD-123_L2.7-W1.7-LS3.8-RD,2,B5819W,C5345968
DC1,DC-IN-TH_DC-005-5A-2.5,1,DC-005-5A-2.5,C381115
F1,FUSE-SMD_L4.7-W3.4,1,1.1A,C163516
"F2, F3",FUSE-SMD_L6.1-W2.7,2,5A Fuse,C66503
"GND_4, GND_3, GND_2, GND",TestPoint_Pad_D1.0mm,4,GND,
INPUT,TestPoint_Pad_D1.0mm,1,5-24v,
"J1, J2",CONN-TH_3P-P5.00_KF301-5.0-3P,2,KF301-5.0-3P,C474882
J3,PinHeader_1x04_P2.54mm_Vertical,1,UART,
J4,PinHeader_1x06_P2.54mm_Vertical,1,GPIO,
L1,IND-SMD_L6.6-W6.4,1,10uH,C5329540
L2,IND-SMD_L8.2-W7.9,1,1uH,C2041438
MODE,SW-SMD_L3.9-W3.0-P4.45,1,MODE,C720477
POWER,SW-SMD_L3.9-W3.0-P4.45,1,POWER,C720477
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,MMBT2222ALT1G,C82460
"R1, R3, R9",R0603,3,10K,C98220
R10,R0603,1,1K,C22548
R11,R0603,1,22ohm,C23345
"R12, R13",R0603,2,5.1K,C105580
"R14, R15",R0603,2,27ohm,C137753
"R16, R17, R24",R0603,3,100ohm,C105588
"R18, R19",R0402,2,10ohm,C2906862
R2,R2512,1,20mOhm,C2903469
R20,R0402,1,1.2Kohm,C2909307
R21,R0402,1,475K,C2085628
R22,R0402,1,453K,C843903
"R23, R4, R7",R0402,3,100K,C481918
R25,R0402,1,330ohm,C2930002
"R5, R6",R0603,2,4.7k,C99782
R8,R0603,1,24.9K,C137761
STP1,LED-SMD_4P-L2.0-W2.0-BR,1,STP1,C2890036
STP2,LED-SMD_4P-L2.0-W2.0-BR,1,STP2,C2890036
STRIP,SW-SMD_L3.9-W3.0-P4.45,1,STRIP,C720477
SW4,SW-SMD_L3.9-W3.0-P4.45,1,RESET,C720477
SW5,SW-SMD_L3.9-W3.0-P4.45,1,BOOT,C720477
TEMP,LED-SMD_4P-L2.0-W2.0-BR,1,TEMP,C2890036
U2,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,LMR33630ADDAR,C841384
U3,SENSOR-SMD_L3.0-W3.0-P1.00-BR,1,AHT20_C2757850,C2757850
U4,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1(N16R8),C2913202
U5,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,1,SN74AHCT125PWR,C36365
U6,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,1,INA238AIDGSR,C2868250
U8,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,1,TLV62569APDRLR,C398366
U9,LCD-SMD_HS096T01H13,1,HS096T01H13,C18198246
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
WIFI,LED-SMD_4P-L2.0-W2.0-BR,1,WIFI,C2890036
